"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","area_ha","year"
"52","5207253","CENTRO-OESTE","GO","GOIÁS","DOVERLÂNDIA","CERRADO","0","0","322175.20000000001","181519.95308313","2017"
"52","5207535","CENTRO-OESTE","GO","GOIÁS","FAINA","CERRADO","0","0","194565.79999999999","101389.65568872","2017"
"35","3515608","SUDESTE","SP","SÃO PAULO","FERNANDO PRESTES","CERRADO","0","0","16999.00000000000","61.21449106","2017"
"31","3125705","SUDESTE","MG","MINAS GERAIS","FELIXLÂNDIA","CERRADO","0","0","155462.70000000001","54833.47809511","2017"
"52","5207600","CENTRO-OESTE","GO","GOIÁS","FAZENDA NOVA","CERRADO","0","0","128142.00000000000","78127.67074313","2017"
"35","3515509","SUDESTE","SP","SÃO PAULO","FERNANDÓPOLIS","CERRADO","0","0","54979.70000000000","229.20765806","2017"
"35","3515657","SUDESTE","SP","SÃO PAULO","FERNÃO","CERRADO","0","0","10050.40000000000","651.24993468","2017"
"35","3515905","SUDESTE","SP","SÃO PAULO","FLOREAL","CERRADO","0","0","20423.60000000000","34.97098517","2017"
"52","5207808","CENTRO-OESTE","GO","GOIÁS","FIRMINÓPOLIS","CERRADO","0","0","42364.90000000000","30089.46272894","2017"
"22","2203909","NORDESTE","PI","PIAUÍ","FLORIANO","CERRADO","0","0","340964.70000000001","2824.28383904","2017"
"31","3126000","SUDESTE","MG","MINAS GERAIS","FLORESTAL","CERRADO","0","0","19424.20000000000","4609.62527790","2017"
"52","5208103","CENTRO-OESTE","GO","GOIÁS","FORMOSO","CERRADO","0","0","84428.89999999999","34045.91264181","2017"
"31","3126406","SUDESTE","MG","MINAS GERAIS","FORTUNA DE MINAS","CERRADO","0","0","19870.90000000000","10992.24268012","2017"
"31","3126307","SUDESTE","MG","MINAS GERAIS","FORTALEZA DE MINAS","CERRADO","0","0","21879.20000000000","74.54233648","2017"
"31","3126208","SUDESTE","MG","MINAS GERAIS","FORMOSO","CERRADO","0","0","368600.40000000002","29743.10944089","2017"
"35","3516200","SUDESTE","SP","SÃO PAULO","FRANCA","CERRADO","0","0","60567.90000000000","6622.08154086","2017"
"31","3126505","SUDESTE","MG","MINAS GERAIS","FRANCISCO BADARÓ","CERRADO","0","0","46148.10000000000","13834.97434188","2017"
"31","3126109","SUDESTE","MG","MINAS GERAIS","FORMIGA","CERRADO","0","0","150191.50000000000","35319.02514607","2017"
